canonical_code,linked_codes,anio,version_ano,estado_documental,idioma_documental,file_name,format,relative_path,github_blob_url,github_raw_url,repository_preview_url,drive_file_id,drive_preview_url,drive_download_url,drive_open_url,notes
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2021,v01 (2021),Obsoleto,EN,210415 PR-SS-AAE - Internal Management Program for Land Affection and Risks by External Agents v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/OBSOLETOS/210415 PR-SS-AAE - Internal Management Program for Land Affection and Risks by External Agents v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210415%20PR-SS-AAE%20-%20Internal%20Management%20Program%20for%20Land%20Affection%20and%20Risks%20by%20External%20Agents%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210415%20PR-SS-AAE%20-%20Internal%20Management%20Program%20for%20Land%20Affection%20and%20Risks%20by%20External%20Agents%20v01.docx,,,,,,
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2021,v01 (2021),Obsoleto,ES,210415 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/210415 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210415%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210415%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v01.docx,,,,,,
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2022,v02 (2022),Obsoleto,EN,220104 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v02.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/220104 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v02.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectacio%CC%81n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v02.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectacio%CC%81n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v02.docx,,,,,,
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2023,v03 (2023),Vigente,ES,230528 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v03.pdf,pdf,PROGRAMAS_FICHAS_CSS/PDF/230528 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v03.pdf,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v03.pdf,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v03.pdf,https://docs.google.com/gview?embedded=1&url=https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v03.pdf,,,,,
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2023,v03 (2023),Vigente,ES,230528 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v03.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/230528 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v03.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/230528%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v03.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/230528%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v03.docx,,,,,,
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2024,v04 (2024),Obsoleto,ES,240404 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v04.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/240404 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v04.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/240404%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v04.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/240404%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v04.docx,,,,,,
PR-SS-AAE,PR-SS-AAE; PR-SS-ATE,2025,v05 (2025),Vigente,ES,250721 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v05.docx,docx,PROGRAMAS_FICHAS_CSS/250721 PR-SS-AAE - Programa de Manejo Interno por Afectación de Tierras y Riesgos por Agentes Externos v05.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/250721%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v05.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/250721%20PR-SS-AAE%20-%20Programa%20de%20Manejo%20Interno%20por%20Afectaci%C3%B3n%20de%20Tierras%20y%20Riesgos%20por%20Agentes%20Externos%20v05.docx,,,,,,
PR-SS-EMU,PR-SS-EMU,2021,v00 (2021),Obsoleto,ES,210524 PR-SS-EMU- Programa de Empoderamiento de la Mujer v00.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/210524 PR-SS-EMU- Programa de Empoderamiento de la Mujer v00.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210524%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v00.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210524%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v00.docx,,,,,,
PR-SS-EMU,PR-SS-EMU,2021,v00 (2021),Obsoleto,EN,210524 PR-SS-EMU- Women's Empowerment Program v00.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/OBSOLETOS/210524 PR-SS-EMU- Women's Empowerment Program v00.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210524%20PR-SS-EMU-%20Women%27s%20Empowerment%20Program%20v00.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210524%20PR-SS-EMU-%20Women%27s%20Empowerment%20Program%20v00.docx,,,,,,
PR-SS-EMU,PR-SS-EMU,2022,v01 (2022),Obsoleto,EN,220104 PR-SS-EMU- Programa de Empoderamiento de la Mujer v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/220104 PR-SS-EMU- Programa de Empoderamiento de la Mujer v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v01.docx,,,,,,
PR-SS-EMU,PR-SS-EMU,2023,v02 (2023),Vigente,ES,230528 PR-SS-EMU- Programa de Empoderamiento de la Mujer v02.pdf,pdf,PROGRAMAS_FICHAS_CSS/PDF/230528 PR-SS-EMU- Programa de Empoderamiento de la Mujer v02.pdf,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v02.pdf,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v02.pdf,https://docs.google.com/gview?embedded=1&url=https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-EMU-%20Programa%20de%20Empoderamiento%20de%20la%20Mujer%20v02.pdf,,,,,
